Document_ID,writer,index_num,index_title_kor,index_title_eng,title,sector,content_eng,content_kor
6,,1.1,소개,a,배경,Safety Context,"1.1. Radioactive waste arises from the generation of electricity in nuclear power plants, from nuclear fuel cycle operations and from other activities in the nuclear fuel cycle, such as the mining and processing of uranium and thorium ores. Radioactive waste also arises from a wide range of activities in industry, medicine, agriculture, education, and research and development. It also arises from activities and processes in which radioactive material of natural origin becomes concentrated in waste material and safety needs to be considered in its management.","1.1. 방사성폐기물은 원자력 발전소에서의 전기 생성, 핵연료 주기 운영, 우라늄 및 토륨 광석의 채굴 및 가공과 같은 핵연료 주기 활동을 통해 발생합니다. 또한, 방사성폐기물은 산업, 의학, 농업, 교육, 연구 및 개발 등의 광범위한 활동과 더불어 천연 방사성물질이 폐기물로 농축되는 활동 및 공정을 통해서도 발생합니다. 이들을 관리하는데 있어 안전성이 고려되어야 합니다. "
6,,1.2,소개,a,배경,Safety Context,1.2. A monitoring and surveillance programme is a key element in verifying that a licensed radioactive waste disposal facility meets its specified performance and safety requirements. The safety principles to be applied in all radioactive waste management activities are established in the Fundamental Safety Principles [1]. The Safety Requirements publication on Disposal of Radioactive Waste [2] sets out disposal options corresponding to the recognized classes of radioactive waste as specified in Ref. [3].,1.2. 허가된 방사성폐기물 처분 시설이 지정된 성능 및 안전 요구 사항을 충족하고 있는지를 확인하기 위해서는 모니터링 및 감시 프로그램이 중요합니다. 모든 방사성폐기물 관리 활동에 적용되는 안전 원칙은 기본 안전 원칙(Fundamental Safety Principles)을 통해 수립되고 있습니다[1]. 방사성폐기물 처분에 관한 안전 요구 사항 간행물[2]은 참고 문헌 [3]에 기재된 바와 같이 방사성폐기물의 승인 등급에 따른 처분 옵션을 제공합니다. 
6,,1.3,소개,a,배경,Safety Context,"1.3. The IAEA has developed Safety Guides on geological disposal facilities and on near surface disposal facilities [4, 5], and a Safety Guide on the management of radioactive residues from mining, mineral processing, and other activities relating to naturally occurring radioactive material (NORM) is in preparation. The present Safety Guide provides support for these safety standards in the area of monitoring and surveillance of radioactive waste disposal facilities.","1.3. IAEA은 심층 처분 시설 및 천층 처분 시설에 관한 안전 지침[4, 5]을 수립하였으며, 채광, 광물 처리 및 천연 방사성물질(NORM)에 관한 기타 활동 등을 통해 발생하는 방사성 잔류물 관리에 대한 연구를 준비 중입니다. 본 안전 지침은 방사성폐기물 처분 시설의 모니터링 및 감시와 관련된 안전 기준을 제공합니다. "
6,,1.4,소개,a,배경,Safety Context,"1.4. Monitoring and surveillance programmes are important elements in providing assurance that a disposal facility for radioactive waste performs at the required level of safety during the operational and post-closure phases. The type of waste and the corresponding disposal facility will influence the monitoring approach taken. In the case of a near surface disposal facility, for waste containing relatively short lived radionuclides, it is possible to apply direct controls to determine whether the safety goals are being met. In the case of geological disposal of waste with long lived radionuclides, direct controls after closure are not feasible. The goals for safety and protection in this case can only be derived by predictions that are based on the available data and existing knowledge.",1.4. 모니터링 및 감시 프로그램은 방사성폐기물 처분 시설이 운영 및 폐쇄 후 단계에서 안전 수준을 준수한다는 것을 입증하기 위한 중요한 요소입니다. 모니터링 방식은 폐기물의 유형 및 관련 처분 시설에 따라 달라집니다. 천층 처분 시설의 경우 상대적으로 수명이 짧은 방사성 핵종을 포함하는 폐기물에 대해 안전 목표를 충족시키는 것을 확인하기 위해 직접 통제하는 것이 가능합니다. 수명이 긴 방사성 핵종을 포함하는 폐기물에 대한 심층 처분 시설의 경우 폐쇄 후 직접적인 통제는 불가능합니다. 이 경우 안전 및 보호에 대한 목표는 가용 데이터 및 기존 정보를 기반으로 하는 예측을 통해서만 도출할 수 있습니다. 
6,,1.5,소개,a,배경,Safety Context,"1.5. Differing kinds of monitoring activities are necessary in each period in the lifetime of a radioactive waste disposal facility. This Safety Guide covers monitoring and surveillance in the pre-operational, operational, closure and post-closure periods for specific landfill disposal facilities, near surface disposal facilities, geological disposal facilities and disposal facilities for waste from thorium and uranium mining. The pre-operational, operational and post-closure periods set out in Ref. [2] can be further described as follows:
- The pre-operational period includes concept definition, site evaluation (selection, verification and confirmation), safety assessment and design studies. In the case of waste from mining, the pre-operational period corresponds to preparation for environmental remediation of mining facilities, tailings management facilities, piles of waste rock and clean-up waste of the contaminated sites (remediation of mining waste can be looked upon as disposal of the mining waste). The pre-remediation activities include environmental impact assessment1 of the sites surrounding the mine, selection and design of the remedial actions and implementation of an environmental monitoring programme that comprises monitoring of the impact of the remedial actions at the site and monitoring for any change in the environmental baseline conditions outside the remediation site. The pre-operational period also includes the development of programmes and procedures required in support of the application for a licence for construction and initial operation of a disposal facility. The monitoring and testing programmes that are needed to establish baseline conditions should be put in place during this period.
1) The term ‘environmental impact assessment’ is used here in a broad sense. In some States, the term denotes a specified process covering all potential impacts of the project, with a view to soliciting acceptance of a project from all relevant authorities, and which often involves participation of the public.
- The operational period begins when waste is first received at the facility. From this time, radiation exposures may occur as a result of waste management activities, and these are subject to control in accordance with the requirements for protection and safety. Safety assessments and the safety case for the period of operation are updated as necessary to reflect actual experience and increasing knowledge, gained both on the site and at other facilities, in the State and in other States. In the operational period, construction activities may take place at the same time as waste emplacement in and closure or decommissioning of other parts of the facility. This period may include activities for waste retrieval, if considered necessary, prior to closure, activities following the completion of waste emplacement and final closure, including backfilling and sealing of the facility. Records of the waste inventory should be kept throughout the operational period.
- Many reasons could lead to a decision to close a disposal facility. For example, the capacity of the disposal facility may have been reached; other solutions for disposal may have been found; or a political decision may have been made to close the facility. Irrespective of the rationale behind the decision, except in the case of remediation, a decision to close a disposal facility is also a decision to initiate a period of active institutional control, for a near surface disposal facility, or, for other disposal facilities, the post-closure period. Such a decision is specific to disposal facilities and is of high importance for near surface disposal facilities. Initiation of a period of active institutional control will lead to decisions on further activities following the completion of waste emplacement, namely closure and sealing of the disposal facility. At this time, the duration of this period of active institutional period should be determined in accordance with a ‘de minimis’ approach to the risks incurred by a potential human intruder.
- The post-closure period begins at the time when all the engineered containment and isolation features have been put in place, operational buildings and supporting services have been decommissioned, and the facility is in its final configuration. After its closure, the safety of the disposal facility is provided for by means of passive features inherent in the characteristics of the site and the facility and characteristics of the waste packages. A monitoring and surveillance programme is put in place aimed at confirming that the disposal system is performing as expected. Monitoring may also be carried out to enhance confidence in, and therefore acceptance of, the disposal process. For near surface disposal facilities in particular, institutional controls are put in place to prevent intrusion into the facility. Depending on national legislation, the licence to operate a disposal facility may be terminated after the period of active institutional control when all the necessary technical, legal and financial requirements have been fulfilled.","1.5. 방사성폐기물 처분 시설의 수명 주기에 따라 각기 다른 종류의 모니터링 활동이 필요합니다. 본 안전 지침은 특정 매립지 처분 시설, 천층 및 심층 처분 시설, 토륨 및 우라늄 채광 폐기물 처분 시설에 대한 사전 운영, 운영, 폐쇄 및 폐쇄 후 기간에 해당하는 모니터링 및 감시 지침을 제공합니다. 참고 문헌 [2]에는 사전 운영, 운영 및 폐쇄 후에 대한 관련 지침이 다음과 같이 추가로 명시되어 있습니다: 
- 사전 운영 기간에는 개념 정의, 현장 평가(선택, 검증 및 확인), 안전성 평가 및 설계 연구가 진행됩니다. 광산에서 발생하는 폐기물의 경우, 사전 운영 기간은 광업 시설, 부산물 관리 시설, 폐암 더미 및 오염 현장의 정화 폐기물의 환경 정비를 위한 준비에 해당한다(광업 폐기물의 재생은 광업 폐기물의 처리로 간주할 수 있다). 사전 복원 활동에는 광산 주변 부지의 환경 영향 평가1, 복원 조치의 설계 및 선정, 환경 모니터링 프로그램 구현(복원 조치에 대한 모니터링, 복원 부지 외부의 환경 기준 조건 변화 모니터링 포함) 등이 포함됩니다. 또한, 사전 운영 기간에는 처분 시설의 건설 및 초기 운영 허가를 위한 프로그램 및 절차 수립 단계도 포함됩니다. 이 기간 동안 기준 조건을 설정하는데 필요한 모니터링 및 테스트 프로그램을 수행해야 합니다. 
1) 여기에서 사용된 ‘환경 영향 평가’라는 용어는 광범위한 의미로 사용될 수 있습니다. 일부 주정부에서 해당 용어는 모든 관련 당국으로부터의 프로젝트 승인 요청을 위한 잠재적 영향을 포괄하는 특정 프로세스를 의미하며, 여기에는 종종 대중의 참여가 요구됩니다
- 운영 기간은 폐기물이 시설에 처음 입고되면서 시작됩니다. 이 기간부터는 폐기물 관리로 인한 방사선 피폭이 발생 될 수 있으며, 이는 방호 및 안전 요구 사항에 따라 관리됩니다. 운영 기간에 대한 안전성 평가 및 사례 연구는 현장 및 기타 시설, 기타 주정부에서 얻은 실제적 경험과 정보를 기반으로 필요에 따라 개정됩니다. 운영 기간 동안의 건설 활동은 폐기물의 저장 및 폐쇄 또는 시설의 다른 부분의 폐로와 함께 동시에 수행될 수 있습니다. 이 기간에는 폐쇄 이전의 폐기물 회수, 시설의 되메움(backfilling) 및 밀폐를 포함하여 폐기물의 배치 및 최종 폐쇄 완료 후 활동이 포함될 수 있습니다. 폐기물에 대한 재고 기록은 운영 기간 동안 보관되어야 합니다
- 여러 이유를 통해 처분 시설을 폐쇄하기로 결정할 수 있습니다. 예를 들어, 처분 시설이 용량 한계에 도달했거나, 처분을 위한 다른 해결책이 제시되었거나, 시설을 폐쇄하라는 정치적 결정이 내려졌을 수 있습니다. 결정 근거와는 관계없이 복원의 경우를 제외하고 처분 시설의 폐쇄 결정은 천층 처분 시설 또는 기타 처분 시설에 대한 제도적 관리가 시작되는 기간입니다. 이러한 결정은 처분 시설에 한정되면 천층 처분 시설에 대해 매우 중요합니다. 제도적 관리가 시작되면 폐기물 배치가 완료된 후의 추가 활동, 즉 처분 시설의 폐쇄 및 밀폐에 대한 결정이 내려질 것입니다. 제도적 관리 기간은 잠재적인 침입자에 의해 발생하는 위험에 대한 ‘최소 허용’ 접근 방식에 따라 결정되어야 합니다. 
- 폐쇄 후 기간은 모든 공학적 격납 및 격리 기능이 수행되고, 운영 및 지원 건물이 해체되고, 시설의 최종 배치 시점에 시작됩니다. 폐쇄 후 처분 시설의 안전성은 부지 및 시설의 특성, 폐기물 포장 특성에 내재 된 수동적 기능에 따라 결정됩니다. 처분 시스템이 예상대로 작동하는지 확인하기 위해 모니터링 및 감시 프로그램이 시행됩니다. 또한, 모니터링을 통해 처분 프로세스에 대한 신뢰성을 강화할 수 있습니다. 특히, 천층 처분 시설의 경우 시설로의 침입을 방지하기 위한 제도적 관리가 수행됩니다. 국가 법률에 따라 처분 시설의 운영 허가는 필요한 모든 기술적, 법적 및 재정적 요구 사항이 충족되는 제도적 관리 기간 이후에 종료될 수 있습니다. "
6,,1.6,소개,a,배경,Safety Context,"1.6. The IAEA’s General Safety Requirements publication Radiation Protection and Safety of Radiation Sources: International Basic Safety Standards [6] and the IAEA Safety Guide on Environmental and Source Monitoring for Purposes of Radiation Protection [7] provide a framework for all generic aspects of monitoring. In particular, Ref. [6] establishes the basic requirements for monitoring of public exposure, while Ref. [7] covers pre-operational monitoring, operational monitoring and post-closure monitoring. It also acknowledges the need for monitoring a variety of non-radioactive variables. The present Safety Guide provides recommendations on meeting the requirements in Ref. [6] and complements the guidance provided in Ref. [7], with particular regard to the role of monitoring in the context of the development of a disposal facility. On matters pertaining to source and environmental monitoring, the present Safety Guide refers to Ref. [7].","1.6. 방사선 보호 및 방사선원의 안전성에 관한 IAEA의 일반 안전 요구 사항: 국제 기본 안전 표준[6]과 방사선 보호 목적을 위한 환경 및 방사선원 모니터링에 관한 IAEA의 안전 지침[7]은 모니터링에 대한 일반적인 프레임워크를 제공합니다. 특히, 참고문헌[6]과 [7]은 각각 공공 노출에 대한 모니터링 요구 사항 및 사전 운영, 운영 및 폐쇄 후 모니터링에 대한 내용을 다룹니다. 또한, 해당 문헌들은 다양한 비방사성 변수들에 대한 모니터링 필요성을 언급하고 있습니다. 본 안전 지침은 처분 시설의 모니터링과 관련하여 참고문헌 [6]의 요건을 충족하고 참고문헌 [7]에서 제공된 지침들을 보완하는 권고사항을 제공합니다. 방사선원 및 환경적 모니터링과 관련된 문제에 대해 본 안전 지침은 참고문헌 [7]을 참조합니다. "
6,,1.7,소개,a,배경,Safety Context,"1.7. Reference [6] establishes requirements on the regulatory control and monitoring of public exposure and risks to the environment, as well as requirements on the safe management of radioactive waste.",1.7. 참고문헌 [6]은 대중 노출 및 환경 위험성에 대한 규제 통제 및 모니터링에 대한 요구 사항과 방사성폐기물의 안전 관리에 대한 요구 사항을 수립했습니다.
6,,1.8,소개,a,배경,Safety Context,"1.8. Four IAEA publications address monitoring and surveillance of disposal facilities: Safety Reports Series No. 27 on Monitoring and Surveillance of Residues from the Mining and Milling of Uranium and Thorium [8]; Safety Reports Series No. 35 on Surveillance and Monitoring of Near Surface Disposal Facilities for Radioactive Waste [9]; Safety Reports Series No. 64 on Programmes and Systems for Source and Environmental Radiation Monitoring [10]; and IAEA-TECDOC-1208 on Monitoring of Geological Repositories for High Level Radioactive Waste [11]. The scope of the present Safety Guide is broader than that of these informational publications, which have served as a resource for development of this Safety Guide.",1.8. 처분 시설의 모니터링 및 감시 프로그램을 다룬 4개의 IAEA 간행물: IAEA은 우라늄 및 토륨의 채광/가공을 통한 부산물의 모니터링 및 감시에 대한 안전 보고서 No. 27 [8]; 방사성폐기물의 천층 처분 시설의 감시 및 모니터링에 대한 안전 보고서 No. 35 [9]; 환경방사선모니터링을 위한 시스템 및 프로그램에 관한 안전 보고서 No. 64 [10]; 및 고준위 방사성폐기물에 대한 심층 처분시설의 모니터링에 관한 IAEA-TECDOC-1208 문서를 발행했습니다. 본 안전 지침은 이러한 정보 간행물보다 더 넓은 범위의 지침을 제공합니다. 
6,,1.9,소개,a,목적,Safety Context,"1.9. The objective of this Safety Guide is to provide guidance for the monitoring and surveillance of radioactive waste disposal facilities throughout their entire lifetime. It addresses the different aims that monitoring and surveillance have at the various periods of the lifetime of a disposal facility, from initiation of work on a candidate site, to the period after closure of the disposal facility.",1.9. 본 안전 지침의 목적은 방사성폐기물 처분시설의 전체 수명에 걸친 모니터링 및 감시와 관련된 지침을 제공하는 것입니다. 이는 후보 부지에서의 작업 개시에서부터 처분 시설의 폐쇄 후 기간에 이르기까지의 전체 수명에 대한 모니터링 및 감시 지침이 갖는 다양한 목적을 다룹니다. 
6,,1.10,소개,a,범위,Safety Context,"1.10. This Safety Guide considers monitoring and surveillance for three types of disposal facility:
- Near surface disposal facilities;
- Geological disposal facilities;
- Facilities for the disposal of waste from mining and mineral processing.
These three types of disposal facility cover all disposal options as identified in Ref. [2]. Specific landfill disposal facilities are not specifically mentioned as they involve the same considerations as near surface disposal facilities. Borehole disposal facilities also are not specifically addressed in this Safety Guide. However, borehole disposal involves many considerations similar to near surface disposal or geological disposal of radioactive waste. A possible surveillance and monitoring programme suitable for a small scale borehole disposal facility is described in Ref. [12].","1.10. 본 안전 지침은 다음과 같은 세 가지 유형의 처분 시설에 대한 모니터링 및 감시 지침을 제공합니다: 
- 천층 처분 시설; 
- 심층 처분 시설;
- 채광 및 광물 처리로 인한 폐기물 처리 시설
이러한 세 가지 유형의 처분 시설은 참고문헌 [2]에 기재된 모든 처분 옵션을 포함합니다. 특정 매립 처분 시설은 천층 처분 시설과 동일한 고려 사항을 가지므로 본 지침에서는 구체적으로 언급되지 않습니다. 시추공 처분 시설(Borehole disposal facility)도 본 안전 지침에서 구체적으로 다뤄지지 않으나, 이들은 방사성폐기물의 천층 또는 심층 처분 시설과 유사한 고려 사항을 갖습니다. 소규모 시추공 처분 시설에 적합한 감시 및 모니터링 프로그램은 참고문헌 [12]에 기재되어 있습니다. "
