Document_ID,writer,index_num,index_title_eng,index_title_kor,title,sector,content_eng,content_kor
5,,1.1,a,배경,INTRODUCTION,안전사례,"1.1. Disposal of radioactive waste represents the final step in its management, and disposal facilities are designed, operated and closed with a view to providing the necessary degree of containment and isolation1 to ensure safety. The fundamental safety objective is to protect people and the environment from harmful effects of ionizing radiation [1] and as a principle:@@“Radioactive waste must be managed in such a way as to avoid imposing an undue burden on future generations; that is, the generations that produce the waste have to seek and apply safe, practicable and environmentally acceptable solutions for its long term management” [1].@@1) Containment denotes all methods or physical structures designed to prevent or control the release and the dispersion of radioactive substances. Isolation of the waste from the accessible biosphere substantially reduces the likelihood of inadvertent human intrusion into the waste and its consequences.","1.1. 방사성폐기물의 처분은 폐기물 관리의 최종 단계를 의미하고, 처분시설은 안전성을 보장하기 위해 필요한 격납과 격리1 정도를 제공하는 관점에서 설계, 운영, 폐쇄된다. 근본적인 안전 목표는 전리방사선의 유해한 영향으로부터 인간과 환경을 보호하는 것으로 [IAEA No.SF?1 (2006)]의 원칙은 아래와 같다.@@“방사성폐기물은 미래세대에게 과도한 부담을 부과하지 않는 방법으로 관리되어야 한다. ; 즉, 폐기물을 발생시키는 세대는 장기적 관리를 위해 안전하고, 실행 가능하며, 환경적으로 허용할 수 있는 해결책을 찾고 적용해야 한다. “ [IAEA No.SF?1 (2006)].@@1) 격납은 방사성 물질의 유출과 확산을 예방 또는 제어하기 위해 설계된 모든 방법 및 물리적 구조를 의미한다. 접근 가능한 생태계로부터 폐기물의 격리는 폐기물로의 부주의한 인간침입의 가능성과 그로 인한 영향을 상당히 줄인다. "
5,,1.2,a,배경,INTRODUCTION,안전사례,"1.2. As for all facilities and activities involving radioactive material and radiation, the operator of a disposal facility has the prime responsibility for safety and has to assess the safety of the facility and demonstrate that the design and operation of the facility are compliant with the relevant safety requirements [1]. The safety requirements for radioactive waste disposal require, inter alia, that a safety case be developed together with supporting safety assessment [2]. ","1.2. 방사성물질과 방사선을 포함하는 모든 처분시설과 행위에 관하여, 처분시설 운영자는 안전에 대한 주요 책임을 가지며, 처분시설의 안전성을 평가하고, 처분시설의 설계 및 운영이 관련 안전요건을 준수함을 입증해야한다. [IAEA No.SF?1 (2006)] 특히, 방사성폐기물 처분에 대한 안전요건은 안전사례와 그것을 뒷받침하는 안전성 평가를 함께 개발하도록 요구한다. [IAEA No.SSR?5 (2011)]"
5,,1.3,a,배경,INTRODUCTION,안전사례,"1.3. The safety case2 is the collection of scientific, technical, administrative and managerial arguments and evidence in support of the safety of a disposal facility, covering the suitability of the site and the design, construction and operation of the facility, the assessment of radiation risks and assurance of the adequacy and quality of all of the safety related work associated with the disposal facility. Safety assessment, an integral part of the safety case, is driven by a systematic assessment of radiation hazards and is an important component of the safety case. The latter involves quantification of radiation dose and radiation risks that may arise from the disposal facility for comparison with dose and risk criteria, and provides an understanding of the behaviour of the disposal facility under normal conditions and disturbing events, considering the time frames over which the radioactive waste remains hazardous. The safety case and supporting safety assessment provide the basis for demonstration of safety and for licensing. They will evolve with the development of the disposal facility, and will assist and guide decisions on siting, design and operations. The safety case will also be the main basis on which dialogue with interested parties will be conducted and on which confidence in the safety of the disposal facility will be developed. @@2) The concept of developing a safety case for disposal facilities, as outlined in this publication, is used in many States. The terminology used is different, though, in some States. For example, in the United States of America the term ‘total system performance analysis’ is used (together with the regulations relevant to the specific disposal method), covering all aspects of the safety case as described in this Safety Guide. In France, the term ‘dossier’ is used to describe the safety case. In Germany and Switzerland, the term ‘Sicherheitsnachweis’ is used. In Spain, the term ‘estudio de seguridad’ is used to describe the safety case.","1.3. 안전사례는 처분부지/처분시설 설계/건설/운영의 적합성, 방사선 위험평가, 처분시설의 안전과 관련된 모든 작업의 품질과 적절성에 대한 보증을 포함한 처분시설의 안전성을 뒷받침하는 과학적, 기술적, 행정상 및 관리상의 논거와 증거들의 집합체이다. 안전사례의 주요 부분인 안전성 평가는 방사선 위험에 대한 체계적인 평가로 수행되며, 안전사례의 중요한 구성요소이다. 선량 및 위험기준과의 비교를 위해 처분시설에서 발생되는 방사선량과 방사선 위험의 정량화를 포함한, 정상 및 사고조건에 대한 처분시설의 거동을 이해할 수 있도록 해주는 안전성 평가는 방폐물의 위험성이 남아있는 기간을 고려한다. 안전사례와 이를 뒷받침하는 안전성 평가는 안전성의 입증과 허가에 근거를 제공해준다. 처분시설 개발에 대한 내용이 포함된 안전사례와 안전성 평가는 부지선정, 설계 및 운영에 있어 도움이 되는 지침을 제공할 것이다. 또한, 안전 사례는 처분시설의 안전성에 대한 신뢰도 구축에 있어서 주요한 기반이며, 이해 관계자들과의 대화에도 중요한 역할을 한다.@@2) 이 문서에서 설명하는 처분시설 안전사례를 개발하는 개념은 많은 국가에서 사용하고 있지만, 용어는 일부국가에서 다르다. 예를 들어, 미국에서는 ‘total system performance analysis’이라는 용어가 이 안전지침에서 설명하는 안전사례의 모든 내용을 포함하는 의미로 (상세 처분 방법에 관한 규정과 함께) 사용되며, 또한, 프랑스에서는 ‘dossier'라는 용어가 안전사례를 나타내는 데 사용된다. 독일과 스위스에서는 ‘Sicherheitsnachweis’이란 용어가 쓰이며, 스페인에서는 ‘estudio de seguridad’의 용어가 안전사례를 나타내는 데 사용된다."
5,,1.4,a,배경,INTRODUCTION,안전사례,1.4. This Safety Guide provides guidance and recommendations on meeting the safety requirements in respect of the safety case and supporting safety assessment for the disposal of radioactive waste. ,1.4. 이 안전지침은 방사성폐기물 처분을 위한 안전사례와 이를 뒷받침하는 안전성 평가에 대한 안전요건을 충족시킬 수 있도록 지침과 권고사항을 제공한다. @@
5,,1.5,a,배경,목적,안전사례,"1.5. The objective of this Safety Guide is to provide guidance on how to assess, demonstrate and document the safety of all types of radioactive waste disposal facility. The most important considerations when assessing the safety of radioactive waste disposal facilities after closure are identified, and guidance is provided on best practice in undertaking such assessment and presenting the safety case. This guidance is relevant for operating organizations, which bear the responsibility of preparing the safety case, as well as for the regulatory body, which is responsible for developing regulations and regulatory guidance that determine the basis and scope of the safety case. To further support regulatory processes, the Safety Guide also provides guidance on the review by the regulatory body of the safety case.","1.5. 이 안전지침은 모든 종류의 방사성폐기물 처분시설의 안전성을 평가, 입증 및 문서화하는 방법에 대한 지침을 제공하는 것을 목표로 한다. 방사성폐기물 처분시설의 폐쇄 후 안전성을 평가할 때 가장 중요한 고려사항은 상기와 같은 평가를 수행하고 안전사례를 제시한 가장 좋은 선례로부터 제공된 지침을 확인하는 것이다. 이 지침은 안전사례를 준비할 책임이 있는 운영 기관과 안전사례의 기반과 범위를 결정짓는 규정 및 규제지침을 개발하는 규제기관에게 모두 관련이 있다. 또한, 본 안전지침은 추가적으로 규제과정을 지원하기 위해, 안전사례에 대한 규제기관의 검토에 관한 지침도 제공한다.@@"
5,,1.6,a,배경,범위,안전사례,"1.6. This Safety Guide covers the preparation of the safety case and supporting safety assessment for all types of radioactive waste that require specialized disposal facilities. The Safety Guide provides guidance and recommendations on all periods in the development of a disposal facility. The emphasis is on the performance of the disposal facility and the assessment of its impact after closure. Other relevant aspects, such as operational safety and non?radiological risks, are addressed but are not discussed in detail. Security aspects are also not discussed in detail although recommendations are provided on meeting the requirement for measures to be implemented to ensure an integrated approach to safety measures and nuclear security measures in the disposal of radioactive waste [2]. ","1.6. 이 안전지침은 전문 처분시설이 필요한 모든 유형의 방사성 폐기물에 대한 안전사례 및 안전성 평가 작성에 대한 지원 사항을 다루며, 처분시설 개발의 모든 단계에 대한 지침과 권장 사항을 제공한다. 처분시설의 폐쇄 후 성능 및 영향 평가에 중점을 두며, 운영 안전성 및 비방사성 위험 등의 다른 측면도 다루지만 상세하게 다루지는 않는다. 보안 측면도 자세히는 다루지 않지만, 방사성 폐기물 매립 시 안전 조치 및 핵 보안 조치를 통합적으로 처리하는 데 필요한 조치의 요구 사항에 대해 충족하도록 하는 권장 사항을 제공한다. [IAEA No.SSR?5 (2011)]"
5,,1.7,a,배경,범위,안전사례,"1.7. This Safety Guide also provides some recommendations on the involvement of interested parties, issues of communication of risk and approaches to decision making, as these are essential components of the decision making process in which the safety case is used. It also provides guidance and recommendations on the regulatory process.","1.7. 또한, 이 지침은 안전사례에서 사용된 의사결정프로세스 내에서 아래사항이 필수적인 요소이기 때문에 이해당사자의 개입, 위험에 대한 의사소통 문제, 의사결정 방법에 대한 몇 가지 권고사항을 제공한다. 이 지침은 규제프로세스에 관한 지침과 권고사항도 제공한다."
5,,1.8,a,배경,구성,안전사례,"1.8. Section 2 of this Safety Guide discusses the overall process of demonstrating the safety of a radioactive waste disposal facility. Section 3 summarizes the main safety principles and safety requirements to be met in the preparation of the safety case. The overall goal of the subsequent sections is to provide guidance on how to meet these requirements. Section 4 elaborates on the concept of the safety case. The components of the safety case and its role in the development, operation and closure of a disposal facility are described. Possibilities for building confidence in the safety case are also discussed. Section 5 addresses methodology for the assessment of radiological impact after closure, which forms the core element of the safety case described in Section 4. Various steps in this process are outlined and discussed in detail. In particular, guidance and recommendations are provided on the management of uncertainties within the radiological impact assessment, as well as on the use of the outcomes of assessments for comparison with assessment criteria. Section 6 discusses specific issues that arise in the preparation of a safety case. Section 7 addresses documentation of the safety case, and indicates possible uses of the safety case in the development of the disposal facility. Section 8 provides guidance and recommendations on the regulatory review of the safety case.","1.8. 2장에서는 방폐물 처분시설의 안전성을 입증하는 전반적인 프로세스를 다룬다. 3장에서는 안전사례의 준비 시 충족해야하는 주요 안전원칙과 안전요건을 요약하였다. 다음 장의 전반적인 목표는 이 안전요건을 충족시키는 방법에 대한 지침을 제공하는 것이다. 4장에서는 안전사례의 개념에 대해서 다룬다. 처분시설 개발, 운영, 폐쇄 시 안전사례의 구성요소와 역할에 대해 설명하며, 안전사례에 대한 신뢰성 구축 가능성도 다룬다. 5장에서는 4장에서 언급된 안전사례의 핵심 구성요소인 폐쇄 후 방사선영향평가의 방법론을 다룬다. 이 평가과정의 다양한 단계를 간략한 개요 그리고 그 상세를 다룬다. 특히, 방사선영향평가 내 불확실성에 대한 관리와 안전기준과의 비교를 위한 평가결과의 활용에 관한 지침과 고려사항을 제공한다. 6장에서는 안전사례의 준비 시 발생 되는 특정 문제에 대하여 다룬다. 7장에서는 안전사례의 문서화와 처분시설 개발 시 안전사례의 가능한 활용법에 대하여 다룬다. 8장에서는 안전사례에 대한 규제(기관의) 검토에 관한 지침과 고려사항을 제공한다."
5,,2.1,a,방사성폐기물 처분 안전성 입증,구성,안전사례,"2.1. The fundamental safety objective is to protect people and the environment from harmful effects of ionizing radiation [1]. Furthermore,@@“Radioactive waste must be managed in such a way as to avoid imposing an undue burden on future generations; that is, the generations that produce the waste have to seek and apply safe, practicable and environmentally acceptable solutions for its long term management” [1]. @@The preferred strategy for the management of all radioactive waste is to contain it and isolate it from the accessible biosphere [2] ","2.1. 근본적인 안전목표는 이온화 방사선의 유해한 영향으로부터 인간과 환경을 보호하는 것이다. [IAEA No.SF-1 (2006)] 더불어,@@“방사성폐기물은 미래세대에게 과도한 부담을 부과하지 않는 방법으로 관리되어야 한다. ; 즉, 폐기물을 발생시키는 세대는 장기적 관리를 위해 안전하고, 실행가능하며, 환경적으로 허용가능한 해결책을 찾고 적용해야 한다. “ [IAEA No.SF-1 (2006)].@@모든 방사성폐기물 관리를 위해 선호되는 전략은 접근 가능한 생태계로부터 폐기물을 격납하고 격리하는 것이다. [IAEA No.SSR-5 (2011)]."
5,,2.2,a,방사성폐기물 처분 안전성 입증,구성,안전사례,"2.2. In accordance with the graded approach [2, 3], the ability of a chosen disposal system to contain the waste and isolate it from humans and the accessible biosphere should be commensurate with the hazard potential of the waste. This is achieved primarily by appropriate selection of waste forms and packaging, of the site for the disposal facility and of its design. Disposal facilities are not expected to provide complete containment and isolation of the waste forever; this is neither practicable nor demanded by the hazard of the waste, which declines with time.","2.2. [IAEA No.SSR-5(2011), No.GSR Part 4(2009)]의 단계별 접근법에 따라, 폐기물을 격납하고 인간과 접근 가능한 생태계로부터 폐기물을 격리시키기 위해 선정된 처분시스템의 성능은 폐기물의 잠재적 위험성에 상응해야 한다. 이것은 주로 폐기물형태, 포장용기, 처분부지, 처분시설 설계의 적절한 선택으로 달성된다. 처분시설이 영원히 폐기물을 완벽히 격납하고 격리할 것이라고 예상되지는 않는다. ; 이것은 실행 가능하지도 않고 시간이 지날수록 감소하는 폐기물의 위험성에 의해 요구되는 사항도 아니다."
